TableName,ColumnName,OldColumn,
AdminUnit                                         ,AdminUnit                                                                  ,RegistrationUnit_Name,
AdminUnit                                         ,Comment                                                                    ,RegistrationUnit_Comment,
AdminUnit                                         ,DateCreated                                                                ,,
AerialCover                                       ,Comments                                                                   ,Comments                                                                   ,
AerialCover                                       ,EventID                                                                    ,EventID,
AerialCover                                       ,Forbs                                                                      ,Forbs                                                                      ,
AerialCover                                       ,Gram                                                                       ,Gram                                                                       ,
AerialCover                                       ,Shrubs                                                                     ,Shrubs                                                                     ,
AerialCover                                       ,TreeRegen                                                                  ,TreeRegen                                                                  ,
CanopyDensiometer                                 ,Comment                                                                    ,Comment                                                                    ,
CanopyDensiometer                                 ,DensE                                                                      ,DenE                                                                      ,
CanopyDensiometer                                 ,DensN                                                                      ,DenN                                                                      ,
CanopyDensiometer                                 ,DensS                                                                      ,DenS                                                                      ,
CanopyDensiometer                                 ,DensW                                                                      ,DenW                                                                      ,
CanopyDensiometer                                 ,DotsCount,DotsCount,
CanopyDensiometer                                 ,EventID                                                                    ,EventID                                                                    ,
DamageCodes                                       ,DamageCat                                                                  ,,
DamageCodes                                       ,DamageCode                                                                 ,,
DamageCodes                                       ,Description                                                                ,,
DamageCodes                                       ,Notes                                                                      ,,
DamageSev                                         ,DamageCode                                                                 ,,
DamageSev                                         ,DamageSev                                                                  ,,
DamageSev                                         ,Description                                                                ,,
DamageSev                                         ,Notes                                                                      ,,
Event,CameraID                                                                   ,,
Event                                             ,Comment                                                                    ,SampleEvent_Comment,
Event                                             ,EventDate                                                                  ,SampleEvent_Date,
Event                                             ,EventID                                                                    ,EventID,
Event                                             ,FuelsObserver                                                              ,FuelsObserver                                                              ,
Event                                             ,FuelsRecorder                                                              ,FuelsRecorder                                                              ,
Event                                             ,Personnel                                                                  ,SampleEvent_Who,
Event                                             ,VisitID,VisitID,.
Event                                             ,PlotID                                                                     ,PlotID,
Event                                             ,PlotObserver                                                               ,PlotObserver                                                               ,
Event                                             ,PlotRecorder                                                               ,PlotRecorder                                                               ,
Event                                             ,TreeObserver                                                               ,TreeObserver                                                               ,
Event                                             ,TreeRecorder                                                               ,TreeRecorder                                                               ,
Fuels1000Hr                                       ,Comment                                                                    ,Comment                                                                    ,
Fuels1000Hr                                       ,DecayClass                                                                 ,DecayCl                                                  ,
Fuels1000Hr                                       ,Diameter                                                                   ,Dia,
Fuels1000Hr                                       ,EventID                                                                    ,EventID,
Fuels1000Hr                                       ,LogNum                                                                     ,LogNum                                                                     ,
Fuels1000Hr                                       ,Transect                                                                   ,Transect                                                                   ,
FuelsDuffLitter                                   ,Comment                                                                    ,Comment                                                                    ,
FuelsDuffLitter                                   ,DuffDepth                                                                  ,DuffDep,
FuelsDuffLitter                                   ,EventID                                                                    ,EventID,
FuelsDuffLitter                                   ,FuelbedDepth                                                               ,FuelbedDep                                               ,
FuelsDuffLitter                                   ,LitterDepth                                                                ,LittDep,
FuelsDuffLitter                                   ,SampleLoc                                                                  ,SampLoc,
FuelsDuffLitter                                   ,Transect                                                                   ,Transect,
FuelsFine                                         ,Comment                                                                    ,Comment,
FuelsFine                                         ,EventID                                                                    ,EventID,
FuelsFine                                         ,HundredHour                                                                ,HunHr,
FuelsFine                                         ,OneHour                                                                    ,OneHr,
FuelsFine                                         ,TenHour                                                                    ,TenHr,
FuelsFine                                         ,Transect                                                                   ,Transect,
FuelsVegetation                                   ,Comment                                                                    ,Comment,
FuelsVegetation                                   ,Cover                                                                      ,Cover,
FuelsVegetation                                   ,EventID                                                                    ,EventID,
FuelsVegetation                                   ,Height                                                                     ,Height,
FuelsVegetation                                   ,Item                                                                       ,Item,
