FFITable,NewTable
RegistrationUnit,AdminUnit
MacroPlot,Plot
SampleEvent,SampleEvent
GroundCoverSmallPlot,GroundCover
Canopy - Densiometer,Canopy
Aerial Cover,AerialCover
Surface Fuels - 1000Hr,Fuels1000Hr
Surface Fuels - Duff_Litter,FuelsDuffLitter
Surface Fuels - Vegetation,FuelsVegetation
Surface Fuels - Fine,FuelsFine
ProjectUnit,Project
Trees - Individuals,Trees
Trees - Saplings (Diameter Class),Saplings
Trees - Seedlings (Height Class),Seedlings
Plot Info Wit Trees Comments_23,WitnessTree
Plot Info Wit Trees Comments3,WitnessTree
Transect,Transect
ProjectVisit,ProjectVisit
Disturbance History,Disturbance
Cover - Points,CoverPoints
Cover - Species Composition,CoverSpecies
Transect,
ProjectVisit,
